,Tranche d'âge,En écoutant la radio ou des podcast,En regardant la TV (replay ou direct),En lisant un journal ou magazine,En vous connectant directement sur un site internet,En utilisant un moteur de recherche,En utilisant un portail d'actualité,En consultant les réseaux sociaux,En consultant les plateformes vidéo en ligne,Mode principal d'information
630,25-34 ans,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
631,18-24 ans,Au moins une fois par semaine,Moins souvent,Jamais,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
632,18-24 ans,Jamais,Au moins une fois par jour,Jamais,Jamais,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
633,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
634,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
635,45-59 ans,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
636,45-59 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
637,35-44 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
638,18-24 ans,Plusieurs fois par jour,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
639,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
640,25-34 ans,Au moins une fois par semaine,Jamais,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
641,35-44 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
642,18-24 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
643,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
644,35-44 ans,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
645,45-59 ans,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
646,35-44 ans,Au moins une fois par semaine,Moins souvent,Moins souvent,Jamais,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par semaine,Jamais,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
647,18-24 ans,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
648,15-17 ans,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
649,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
650,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
651,18-24 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
652,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
653,60-69 ans,Moins souvent,Au moins une fois par jour,Au moins une fois par mois,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
654,45-59 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
655,25-34 ans,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Moins souvent,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
656,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
657,25-34 ans,Jamais,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
658,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Moins souvent,Au moins une fois par jour,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
659,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Jamais,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
660,70 ans et +,Moins souvent,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
661,18-24 ans,Jamais,Moins souvent,Jamais,Jamais,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
662,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
663,45-59 ans,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
664,45-59 ans,Moins souvent,Moins souvent,Moins souvent,Jamais,Au moins une fois par semaine,Jamais,Moins souvent,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
665,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
666,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
667,25-34 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Au moins une fois par mois,Jamais,Jamais,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
668,25-34 ans,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,Jamais,Au moins une fois par semaine,Jamais,Au moins une fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
669,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par jour,Moins souvent,Jamais,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
670,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
671,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
672,70 ans et +,Au moins une fois par jour,Moins souvent,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Jamais,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
673,18-24 ans,Moins souvent,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
674,25-34 ans,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Au moins une fois par mois,Jamais,Au moins une fois par jour,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
675,18-24 ans,Moins souvent,Au moins une fois par mois,Jamais,Jamais,Moins souvent,Jamais,Plusieurs fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
676,45-59 ans,Moins souvent,Moins souvent,Moins souvent,Jamais,Au moins une fois par semaine,Au moins une fois par mois,Moins souvent,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
677,45-59 ans,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
678,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
679,45-59 ans,Jamais,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
680,18-24 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
681,70 ans et +,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
682,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
683,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
684,18-24 ans,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par mois,Moins souvent,Au moins une fois par mois,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
685,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
686,25-34 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
687,35-44 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
688,18-24 ans,Jamais,Jamais,Au moins une fois par jour,Jamais,Au moins une fois par semaine,Jamais,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
689,45-59 ans,Moins souvent,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
690,15-17 ans,Au moins une fois par mois,Plusieurs fois par jour,Jamais,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
691,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
692,45-59 ans,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Moins souvent,Jamais,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
693,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
694,25-34 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
695,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
696,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
697,25-34 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
698,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
699,35-44 ans,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
700,35-44 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
701,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
702,18-24 ans,Jamais,Jamais,Jamais,Jamais,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
703,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
704,45-59 ans,Au moins une fois par jour,Moins souvent,Jamais,Jamais,Jamais,Au moins une fois par jour,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
705,25-34 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
706,25-34 ans,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
707,25-34 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
708,45-59 ans,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Jamais,Plusieurs fois par jour,Jamais,Jamais,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
709,35-44 ans,Moins souvent,Moins souvent,Au moins une fois par jour,Moins souvent,Moins souvent,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
710,25-34 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
711,25-34 ans,Jamais,Plusieurs fois par jour,Au moins une fois par mois,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
712,45-59 ans,Jamais,Moins souvent,Jamais,Jamais,Moins souvent,Jamais,Moins souvent,Jamais,
713,60-69 ans,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Moins souvent,Au moins une fois par mois,Plusieurs fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
714,18-24 ans,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par jour,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
715,25-34 ans,Moins souvent,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
716,35-44 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par mois,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
717,18-24 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Jamais,Au moins une fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
718,15-17 ans,Jamais,Moins souvent,Jamais,Jamais,Jamais,Jamais,Plusieurs fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
719,25-34 ans,Au moins une fois par mois,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,Plusieurs fois par jour,Au moins une fois par mois,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
720,25-34 ans,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
721,18-24 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
722,60-69 ans,Jamais,Plusieurs fois par jour,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
723,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
724,18-24 ans,Jamais,Jamais,Jamais,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
725,70 ans et +,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Plusieurs fois par jour,Moins souvent,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
726,18-24 ans,Jamais,Au moins une fois par semaine,Jamais,Jamais,Au moins une fois par jour,Jamais,Au moins une fois par semaine,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
727,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
728,18-24 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
729,18-24 ans,Jamais,Jamais,Jamais,Moins souvent,Au moins une fois par mois,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
730,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par mois,Moins souvent,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
731,18-24 ans,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
732,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,Jamais,Au moins une fois par mois,Au moins une fois par semaine,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
733,45-59 ans,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,Jamais,Moins souvent,Moins souvent,Moins souvent,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
734,35-44 ans,Moins souvent,Plusieurs fois par jour,Jamais,Moins souvent,Au moins une fois par mois,Moins souvent,Jamais,Au moins une fois par mois,"En utilisant un moteur de recherche (Google, Safari, …)"
735,35-44 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
736,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
737,25-34 ans,Au moins une fois par jour,Moins souvent,Moins souvent,Au moins une fois par mois,Au moins une fois par mois,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
738,18-24 ans,Jamais,Au moins une fois par semaine,Jamais,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
739,45-59 ans,Jamais,Jamais,Au moins une fois par mois,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
